dialogue_id,text,context_length,ground_truth,gt_name,predicted,pred_name,match
MUL0043.json,Can I try to book for 1 night then?,6,1,fearful,0,neutral,False
MUL1598.json,"Great, thank you. Can you help me with train schedules too? I need to get to Cambridge from Bishops Stortford.",6,6,satisfied,6,satisfied,True
MUL1966.json,I think I'd like to visit an entertainment attraction.  Do they have entrance fees?,2,5,excited,5,excited,True
MUL2015.json,Thank you.  That  is all for now.,12,6,satisfied,6,satisfied,True
MUL0877.json,Can you book it for 7 people for 18:00 on Wednesday and then send me the reference number?,8,0,neutral,0,neutral,True
MUL1626.json,"Yes I'd love one, please. Just me, and I'd like to eat at 10:15 on the same day.",10,5,excited,5,excited,True
PMUL0411.json,"That is everything, thank you.",16,6,satisfied,6,satisfied,True
MUL2555.json,"Actually, I think that what I really want is a hotel that is in the same area as a swimming pool.  Are there any public swimming pools in town?",2,3,apologetic,0,neutral,False
MUL1957.json,"Hmm, that kind of stinks. Well, how about a theatre instead? ",8,1,fearful,1,fearful,True
MUL0375.json,That would be perfect! Please make a booking for 8 people.,10,6,satisfied,6,satisfied,True
PMUL0460.json,Are you saying that there isn't even a cheap 4 star guesthouse on the east side? What kind of city is this?,8,4,abusive,2,dissatisfied,False
MUL2534.json,"Yes, I am traveling to cambridge and would like to know about museums in the area.",0,5,excited,5,excited,True
MUL1851.json,No thank you that is all the information I need today.,12,6,satisfied,6,satisfied,True
PMUL0825.json,I would like a Italian food in the centre. ,12,0,neutral,0,neutral,True
MUL1272.json,"no, thank you",18,6,satisfied,6,satisfied,True
MUL2679.json,"Thank you, could I get the address and entrance fee for the one you'd recommend? ",4,5,excited,0,neutral,False
PMUL0322.json,"It appears that I forgot to book a restaurant reservation. I need something in the south in the same price range as the hotel, please.",22,3,apologetic,3,apologetic,True
MUL1950.json,Thank you. I am also hoping to book a train to Cambridge from Ely.,4,6,satisfied,0,neutral,False
PMUL0521.json,Why do you need to know my preference? You already booked me a table at michaelhouse cafe...,8,4,abusive,2,dissatisfied,False
MUL0105.json,"The east is OK, is that one a guesthouse style?",8,0,neutral,0,neutral,True
MUL0259.json,Thanks. I will also need take a train from london kings cross station that same day. What time do they leave?,6,6,satisfied,0,neutral,False
MUL1353.json,Wow this is really confusing. Let's start from the beginning. Can you see if you can find a place to stay in the east with 4 stars and free wifi?,22,2,dissatisfied,2,dissatisfied,True
PMUL1108.json,that is it for now. thanks for helping.,10,6,satisfied,6,satisfied,True
MUL2419.json,"Maybe Trinity College. What's their entrance fee, phone number, and what postcode are they in, please?",2,0,neutral,0,neutral,True
PMUL0085.json,No and no. I want a 4 star hotel on the north side with free wifi and parking.,8,2,dissatisfied,2,dissatisfied,True
MUL0069.json,Thank you. I would also like to book a taxi to go from the hotel to the restaurant.,18,0,neutral,0,neutral,True
MUL1522.json,Hi. I'll be traveling to there and can't wait to try the restaurants there. Could you help me find a place?,0,5,excited,5,excited,True
MUL1661.json,"No i'm sorry, I was mistaken, thank you, that is all",12,3,apologetic,3,apologetic,True
MUL1155.json,"Hi, I'll be traveling to cambridge and am excited to find some places to go. Can you help me?",0,5,excited,5,excited,True
MUL0492.json,"No, that's all I need. Thank you for your help.",12,6,satisfied,6,satisfied,True
MUL0825.json,"Just do what I say! I don't care what you choose! Give me the necessary information too. Then, get me a restaurant in the east that's expensive north indian food",6,4,abusive,4,abusive,True
PMUL1296.json,"Thank you for your time and help, sorry for the confusion.  Have a great day !",12,6,satisfied,6,satisfied,True
PMUL1155.json,"I want to confirm that I will arrive by 15:15? You stated, leaving at 5:35 and arriving at 5:52?",10,2,dissatisfied,2,dissatisfied,True
MUL2556.json,"No, again, that is all, thank you. ",8,2,dissatisfied,0,neutral,False
PMUL0952.json,I am departing from Peterborough and going to Cambridge.,8,0,neutral,0,neutral,True
MUL2496.json,"I'm so bored! Can you find me something to do on the west end of the city, please?",0,1,fearful,5,excited,False
