dialogue_id,text,context_length,ground_truth,gt_name,predicted,pred_name,match
MUL1469.json,"Yes, please book 8 tickets on the last train to arrive before 8:30.",10,0,neutral,6,satisfied,False
PMUL1395.json,are you sure? i need to leave tuesday.,4,2,dissatisfied,2,dissatisfied,True
MUL0536.json,Oops! I guess forgot to mention it's Thursday that I need to travel.,8,3,apologetic,3,apologetic,True
MUL0805.json,How about some Chinese food?,2,0,neutral,0,neutral,True
MUL0609.json,"I would like to know more about the Aylesbray Lodge, do you have the address and can you tell me whether they offer free parking?",8,0,neutral,5,excited,False
PMUL0405.json,I'll be staying for 5 nights.,10,0,neutral,0,neutral,True
MUL2171.json,"If there are any that don't have free internet tell me about that one, hotels usually start skimping on other things when they offer free internet.",10,1,fearful,2,dissatisfied,False
MUL0958.json,Yes! I'd like a phone number and address of one of those.,2,5,excited,5,excited,True
MUL1142.json,"Yes, the hotel should include free wifi.",2,0,neutral,5,excited,False
MUL0055.json,Are there any restaurants in the west and in the expensive price range that serves indian food?,4,0,neutral,2,dissatisfied,False
MUL1010.json,Can we try for 4 nights please?,10,2,dissatisfied,0,neutral,False
PMUL0472.json,Thank you that is all I needed. ,14,6,satisfied,6,satisfied,True
MUL1344.json,That sounds like it might be great - how many stars does the Ashley have?,8,5,excited,5,excited,True
MUL1996.json,"Actually, I gave you the wrong day. I'd like to travel on Wednesday, from Cambridge to Broxbourne, and I'd like to leave anytime after 12:45.",4,3,apologetic,3,apologetic,True
PMUL0405.json,Oh.  I would really prefer a guesthouse.  How about the moderate price range?,4,1,fearful,1,fearful,True
MUL0044.json,I apologize. I seem to be a bit ahead of myself today. What kind of hotel was the Warkworth house? ,12,3,apologetic,3,apologetic,True
MUL2659.json,"Yes, I am planning my trip to Cambridge.  There are so many things to do it seems.  Exciting.  Can you help me with some information?",0,5,excited,5,excited,True
MUL1158.json,"Actually, I'd like to book there Monday for 1 night with 8 people.",10,3,apologetic,3,apologetic,True
PMUL1449.json,I'd like details about trains leaving from Cambridge and going to Ely. ,0,0,neutral,0,neutral,True
PMUL0251.json,I told you Tuesday can I speak to a manager you are not paying attention.,6,4,abusive,4,abusive,True
PMUL0144.json,just find me the phone number and postcode i'll book it myself,16,4,abusive,2,dissatisfied,False
