dialogue_id,text,context_length,ground_truth,gt_name,predicted,pred_name,match
MUL2064.json,"Hmm, well how about checking for a hotel instead that is expensive with free parking and wifi?",6,1,fearful,1,fearful,True
MUL2666.json,The one in the north did not need to be 0 stars. Just one in the north.,14,2,dissatisfied,2,dissatisfied,True
MUL0502.json,"No thanks, that's all I needed. ",10,6,satisfied,6,satisfied,True
MUL2132.json,"Thats awful,is there any other options for the criteria that I need?",4,1,fearful,1,fearful,True
MUL2156.json,Can you book that for 8 people for 1 night since 5 nights did not work earlier?  ,24,0,neutral,0,neutral,True
PMUL0599.json,"Can I get a table for 1, please? I know it sounds sad, but I just don't have any friends to travel with.",12,1,fearful,1,fearful,True
PMUL1249.json,"I'm sorry. I just need a little more information on Clare College. May I have the phone number, please?",16,3,apologetic,3,apologetic,True
MUL0115.json,"I don't know where my head was, I don't need a reservation.  Thanks.  I do need a 0 star hotel in the centre though. ",14,3,apologetic,3,apologetic,True
PMUL0119.json,"You're right, I'm sorry. I actually have all that I need from you at this time. Have a good day!",16,3,apologetic,3,apologetic,True
MUL2325.json,That is disappointing.  How about some French food?,4,1,fearful,1,fearful,True
MUL0607.json,I also need to find a train going to cambridge.,6,0,neutral,0,neutral,True
MUL0762.json,No preference on either. Can you recommend me a place and can I get a postcode for that guesthouse? ,10,0,neutral,0,neutral,True
MUL2026.json,No that's all the info I needed. Thanks for all your help,14,6,satisfied,6,satisfied,True
PMUL1310.json,Great that's all I needed. Thanks for your help.,12,6,satisfied,6,satisfied,True
MUL2653.json,I'm viviting Cambridge and would really love to do something while I am here on a boat. Are there any attractions like that?,0,5,excited,5,excited,True
MUL1114.json,Oh dear.  What if we only stay there on Wednesday?,12,1,fearful,1,fearful,True
MUL1797.json,that sounds great can you book that for me?,4,6,satisfied,6,satisfied,True
PMUL0524.json,Um sorry but can we actually go back to the restaurant again really quick. Did you even really book that for me? I never got a reference number from you...,8,2,dissatisfied,2,dissatisfied,True
PMUL0733.json,Yes please. for 4 people as well.,14,0,neutral,0,neutral,True
PMUL0580.json,"Sorry, not sure I follow.  Can you recommend a south african food restaurant?  Thanks.  ",4,3,apologetic,3,apologetic,True
PMUL0129.json,"Yes, just as long as I'm at the restaurant in time for the reservations.",12,0,neutral,0,neutral,True
MUL1282.json,Help! I am hungry and need a cheap restaurant in the centre.,0,1,fearful,5,excited,False
MUL0564.json,"Hello, do you have any information regarding interesting theatres to visit in the centre of town?",0,5,excited,5,excited,True
PMUL0619.json,"Not really, try kosher food types. ",2,1,fearful,1,fearful,True
MUL0413.json,Please do give me the address and also if you could I am looking for a train as well to depart from cambridge and head down to london liverpool street.,4,0,neutral,0,neutral,True
MUL0903.json,What other local attractions are there to explore?,8,5,excited,5,excited,True
MUL0987.json,"What an interesting name! Hmm, what do you have in the way of seafood restaurants?",6,5,excited,5,excited,True
PMUL1239.json,"I changed my mind, don't worry about getting me a train reservation. Just please recommend an attraction to visit on the West side of town",6,3,apologetic,3,apologetic,True
MUL2543.json,"Bummer, are there any nightclubs in the city centre instead?",2,1,fearful,1,fearful,True
MUL1173.json,That is unfortunate.  I can cut my stay down to a single night if that helps.,4,1,fearful,1,fearful,True
PMUL0204.json,"Great, that's all I need, thanks so much for your help! Have a great day!",20,6,satisfied,6,satisfied,True
MUL0432.json,"That was all the questions I had, Thanks very much for helping me.",12,6,satisfied,6,satisfied,True
PMUL1153.json,Are there any swimming pools in the area?,8,0,neutral,0,neutral,True
PMUL0413.json,I only need one booking.,26,2,dissatisfied,0,neutral,False
MUL1447.json,"Actually, I won't need you to book tickets. But can I please get the price and travel time for TR1755?",10,3,apologetic,3,apologetic,True
MUL1228.json,I'mLOOKING FOR THE peking restaurant WHAT TYPE OF FOOD DOES IT SERVE AND I ALSO NEED THE ADDRESS,2,4,abusive,0,neutral,False
PMUL1214.json,That won't work I need to arrive by 17:15.,4,2,dissatisfied,2,dissatisfied,True
MUL2355.json,"I'm sorry, but the price range should be moderate. The area doesn't matter. I just need one that is available for 3 people at 13:00 on sunday.",6,3,apologetic,3,apologetic,True
MUL2456.json,Thank you so much. That is all I need today.,12,6,satisfied,6,satisfied,True
MUL1427.json,Okay thank you. That will be fine. ,14,6,satisfied,6,satisfied,True
MUL0261.json,"Thank you, can I also get a train leaving petterborough and arriving by 11:15",8,6,satisfied,0,neutral,False
MUL1296.json,"No that's all the information I need for now.  Thank you very much, have a nice evening.  Good bye.",14,6,satisfied,6,satisfied,True
MUL2558.json,I'm sorry.  Can you try a guesthouse?  Still north w/free parking.  Thanks and sorry!,4,3,apologetic,3,apologetic,True
MUL1038.json,"We could shorten the stay to just four nights, I guess.",12,1,fearful,1,fearful,True
PMUL0219.json,Okay thank you for all your help.,18,6,satisfied,6,satisfied,True
MUL0564.json,I'm interested in one of the theatres! Can I get the entrance fee information for those?,2,5,excited,5,excited,True
PMUL0564.json,Wow! No barbeque restaurants?  I need something moderately priced then.  Can you make a reccommendation?,2,1,fearful,1,fearful,True
MUL2035.json,"I'll be going from Cambridge to Kings Lynn, to visit my sister! Haven't seen her in forever.",4,5,excited,5,excited,True
MUL2642.json,Yes I am looking for someplace to tour in town in the south involving architecture.,16,5,excited,5,excited,True
PMUL0975.json,Did you book for 5 people? Is there a train that arrives closer to but before 14:45? Thanks.,8,2,dissatisfied,2,dissatisfied,True
PMUL0460.json,"I think you need to pay more attention, it's your job to be alert. Do they all have free internet?",10,4,abusive,2,dissatisfied,False
PMUL0037.json,Sorry for digressing. I am still looking for an expensive Thai restaurant in the center of town. Can you check?,12,3,apologetic,3,apologetic,True
MUL0592.json,I prefer the architecture type.,2,0,neutral,0,neutral,True
PMUL0671.json,"Thank you. Can you also help me find a good Italian eatery? I'd like it to be moderately priced, please.",6,6,satisfied,5,excited,False
PMUL0933.json,Yes book that for me thank you ,6,6,satisfied,6,satisfied,True
PMUL1163.json,Great. Can you also check for colleges? ,2,5,excited,5,excited,True
MUL0825.json,"Just do what I say! I don't care what you choose! Give me the necessary information too. Then, get me a restaurant in the east that's expensive north indian food",6,4,abusive,4,abusive,True
MUL2018.json,"Well I guess I'm out of luck, unless there are hotels in adjoining towns I could try. ",24,1,fearful,1,fearful,True
PMUL0933.json,i want to arrive by 16:30 if possible.,4,2,dissatisfied,0,neutral,False
PMUL1305.json,"i don't want that museum, i hate technology. i want to destroy this computer i'm using.",8,4,abusive,4,abusive,True
PMUL1525.json,No that is all thank you. ,8,6,satisfied,6,satisfied,True
MUL1550.json,"A moderate priced crossover located in the centre, nothing?",2,1,fearful,1,fearful,True
MUL0536.json,Oops! I guess forgot to mention it's Thursday that I need to travel.,8,3,apologetic,3,apologetic,True
PMUL1480.json,NO! I said 16:45. Arrive by 16:45. Try again.,14,4,abusive,4,abusive,True
