dialogue_id,text,context_length,ground_truth,gt_name,predicted,pred_name,match
PMUL0704.json,Can I get their postcode please? ,6,2,dissatisfied,2,dissatisfied,True
PMUL0327.json,That's unfortunate. Are you certain you can't find it? I was sure it's still operating. ,10,1,fearful,2,dissatisfied,False
MUL2353.json,I'm looking to have a little fun at a nightclub.,2,5,excited,5,excited,True
MUL1865.json,I am departing from Cambridge,4,2,dissatisfied,4,abusive,False
MUL0907.json,Could we try for Tuesday at 12:15 please.,4,1,fearful,2,dissatisfied,False
PMUL0731.json,The train should arrive by 16:30 and should depart from cambridge,12,2,dissatisfied,2,dissatisfied,True
PMUL0956.json,No thank you. I just need the postcode please. ,10,0,neutral,6,satisfied,False
PMUL0739.json,Do you know where I may get some yummy chinese food in the centre of town?,8,5,excited,5,excited,True
PMUL0495.json,"I also need a 0 star room, and I will need wifi to be free too. ",6,0,neutral,2,dissatisfied,False
PMUL0732.json,That will be all. Thanks for all your help.,18,6,satisfied,6,satisfied,True
PMUL0269.json,I'm sorry I also need the post code. ,8,3,apologetic,3,apologetic,True
MUL0043.json,Can I try to book for 1 night then?,6,1,fearful,0,neutral,False
MUL2175.json,"Yes, I need one that is in the centre. Please give me the postcode, price range and star of the hotel. ",6,2,dissatisfied,2,dissatisfied,True
PMUL0681.json,"Oh, that's too bad.  How about Italian?",2,1,fearful,1,fearful,True
MUL0636.json,Are there any other cheap guesthouses in the north with free parking? My schedule is inflexible I'm afraid.,12,1,fearful,1,fearful,True
PMUL1117.json,"Oh, well I really wanted to visit the centre. Maybe you could find me a park instead? One in the centre of town?",12,1,fearful,1,fearful,True
PMUL0574.json,"I'ma wine lover, so darrys cookhouse and wine shop  sounds interesting, can i get the postal code for that? ",4,5,excited,5,excited,True
PMUL0490.json,Oh...alright...well I guess not then. You weren't very helpful but whatever bye,16,2,dissatisfied,1,fearful,False
MUL1078.json,"No preference! Can you recommend me one and give me their area, entrance fee if they have one, and their address? Thanks!",10,5,excited,5,excited,True
PMUL0888.json,The Centre is fine.  I need a table for brunch on Sunday.,4,0,neutral,0,neutral,True
PMUL0683.json,"um what? I did not ask you to book it. I asked you to give me the price, departure time, and train ID!",18,2,dissatisfied,4,abusive,False
MUL1741.json,I do not. Could I have the addresses for all of them and the entrance fees?,2,0,neutral,0,neutral,True
MUL1183.json,I am sorry. I actually need a taxi. I am looking to leave the Holy Trinity Church by 05:45 and go to the limehouse.,12,3,apologetic,3,apologetic,True
MUL1199.json,Great! May I have the address and phone number?,10,6,satisfied,6,satisfied,True
MUL1174.json,"I'm sorry, I just noticed that you booked starting on Sunday.  I had requested to check in on Saturday.  Is that still possible?  ",6,3,apologetic,3,apologetic,True
PMUL0852.json,I just told you! sunday! Now please go on and book and send me the reference number ,16,4,abusive,4,abusive,True
PMUL1359.json,Sounds good. Can I get the phone number and postcode?,10,6,satisfied,2,dissatisfied,False
PMUL0318.json,You should have booked it last time you just didn't want to so skipped it. ,8,4,abusive,4,abusive,True
